,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rawson,-43.3002,-65.1023,63.79,49,0,18.57,AR,1644204026
1,wukari,7.85,9.7833,69.15,22,0,4.72,NG,1644204027
2,qaanaaq,77.484,-69.3632,-11.67,59,29,7.25,GL,1644204027
3,cape town,-33.9258,18.4232,65.26,86,75,1.01,ZA,1644203943
4,mariveles,14.4833,120.4833,79.59,74,99,16.22,PH,1644204027
5,laje,-10.1833,-40.9667,71.96,67,86,2.64,BR,1644204028
6,thinadhoo,0.5333,72.9333,82.81,62,100,12.64,MV,1644203617
7,kaitangata,-46.2817,169.8464,59.94,79,52,8.32,NZ,1644204028
8,wattegama,6.7989,81.4808,77.29,70,96,6.06,LK,1644204028
9,ushuaia,-54.8,-68.3,60.46,67,40,14.97,AR,1644204029
10,bluff,-46.6,168.3333,60.8,66,0,13.38,NZ,1644204029
11,itoman,26.1247,127.6694,68.38,54,75,11.5,JP,1644203877
12,punta arenas,-53.15,-70.9167,53.71,82,75,10.36,CL,1644203734
13,mataura,-46.1927,168.8643,60.48,34,8,2.75,NZ,1644204030
14,leningradskiy,69.3833,178.4167,-26.57,100,63,2.82,RU,1644204030
15,marawi,7.9986,124.2928,73.65,49,50,5.3,PH,1644203986
16,tapes,-30.6733,-51.3958,64.04,70,3,10.8,BR,1644204030
17,novobelokatay,55.7062,58.9549,-1.28,98,96,3.38,RU,1644204031
18,hilo,19.7297,-155.09,73.26,89,85,8.46,US,1644204031
19,touros,-5.1989,-35.4608,79.7,76,19,8.86,BR,1644203952
20,upernavik,72.7868,-56.1549,-14.49,100,100,8.41,GL,1644204032
21,port alfred,-33.5906,26.891,72.93,79,82,4.97,ZA,1644204032
22,narsaq,60.9167,-46.05,10.62,82,100,5.57,GL,1644204032
23,dawson creek,55.7666,-120.2362,44.24,49,0,8.05,CA,1644204033
24,dingle,10.9995,122.6711,83.75,63,48,15.41,PH,1644203746
25,busselton,-33.65,115.3333,69.08,51,70,20.04,AU,1644204033
26,barrow,71.2906,-156.7887,-27.38,68,0,14.97,US,1644204033
27,zavyalovo,54.5053,82.4484,5.25,88,100,3.53,RU,1644204034
28,rikitea,-23.1203,-134.9692,79.02,72,16,18.75,PF,1644204034
29,constitucion,-35.3333,-72.4167,57.79,80,0,4.09,CL,1644204034
30,aklavik,68.2191,-135.0107,-20.09,91,100,19.39,CA,1644203619
31,ojinaga,29.5667,-104.4167,54.55,32,75,13.8,MX,1644204035
32,munsingen,48.4113,9.497,34.25,88,99,19.82,DE,1644204035
33,hithadhoo,-0.6,73.0833,82.42,69,31,14.14,MV,1644204035
34,aligudarz,33.4006,49.6949,15.73,83,74,4.56,IR,1644204036
35,vaini,-21.2,-175.2,75.36,100,100,4.61,TO,1644204036
36,sistranda,63.7256,8.834,37.9,66,100,27.11,NO,1644204036
37,fez,34.0372,-4.9998,51.91,81,0,5.75,MA,1644204037
38,talcahuano,-36.7167,-73.1167,62.28,77,0,3.44,CL,1644204037
39,bengkulu,-3.8004,102.2655,81.64,70,99,10.8,ID,1644204037
40,alofi,-19.0595,-169.9187,82.29,18,100,4.61,NU,1644204037
41,broome,42.2506,-75.833,23.9,69,0,1.01,US,1644204038
42,lanzhou,36.0564,103.7922,15.08,77,82,1.88,CN,1644203991
43,clyde river,70.4692,-68.5914,-30.77,68,20,10.36,CA,1644204038
44,benjamin hill,30.1667,-111.1,60.17,20,0,10.0,MX,1644204039
45,mercedes,-34.6515,-59.4307,64.83,91,10,7.7,AR,1644204039
46,saldanha,-33.0117,17.9442,62.65,99,35,7.87,ZA,1644204039
47,margate,51.3813,1.3862,41.88,71,5,8.99,GB,1644204005
48,dikson,73.5069,80.5464,-13.05,97,100,16.33,RU,1644204076
49,tezu,27.9167,96.1667,61.83,46,2,2.19,IN,1644204100
50,si racha,13.1737,100.9311,89.33,77,94,4.56,TH,1644204100
51,saskylakh,71.9167,114.0833,-27.18,100,93,4.09,RU,1644203807
52,avarua,-21.2078,-159.775,80.65,78,20,9.22,CK,1644204101
53,mount gambier,-37.8333,140.7667,86.16,20,0,7.16,AU,1644204101
54,cabo san lucas,22.8909,-109.9124,67.51,73,20,0.0,MX,1644204101
55,thompson,55.7435,-97.8558,-5.64,71,100,4.61,CA,1644204061
56,vanimo,-2.6741,141.3028,82.27,79,100,4.63,PG,1644204102
